,index,runs,time,residual,event_of_run,event_nr,event_mean_residual,event_total_residual,nr_of_days,month,doy,week,country
32022,12189,h013,2003-12-18 12:00:00,705941.7584481047,3,44,703241.2110257025,15471306.642565455,22,12,352,2,ESP
32023,12190,h013,2003-12-19 12:00:00,705941.7584481047,3,44,703241.2110257025,15471306.642565455,22,12,353,2,ESP
32024,12193,h013,2003-12-22 12:00:00,705941.7584481047,3,44,703241.2110257025,15471306.642565455,22,12,356,2,ESP
32025,12194,h013,2003-12-23 12:00:00,705941.7584481048,3,44,703241.2110257025,15471306.642565455,22,12,357,2,ESP
32026,12197,h013,2003-12-26 12:00:00,705941.7584481048,3,44,703241.2110257025,15471306.642565455,22,12,360,2,ESP
32027,12200,h013,2003-12-29 12:00:00,705941.7584481047,3,44,703241.2110257025,15471306.642565455,22,12,363,2,ESP
32028,12202,h013,2003-12-31 12:00:00,699466.7918720176,3,44,703241.2110257025,15471306.642565455,22,12,365,2,ESP
32029,12203,h013,2004-01-01 12:00:00,705941.7584481047,3,44,703241.2110257025,15471306.642565455,22,12,1,2,ESP
32030,12204,h013,2004-01-02 12:00:00,705941.7584481047,3,44,703241.2110257025,15471306.642565455,22,12,2,2,ESP
32031,12207,h013,2004-01-05 12:00:00,698982.0397605858,3,44,703241.2110257025,15471306.642565455,22,12,5,2,ESP
32032,12208,h013,2004-01-06 12:00:00,698982.0397605859,3,44,703241.2110257025,15471306.642565455,22,12,6,2,ESP
32033,12209,h013,2004-01-07 12:00:00,698982.0397605859,3,44,703241.2110257025,15471306.642565455,22,12,7,2,ESP
32034,12210,h013,2004-01-08 12:00:00,698982.039760586,3,44,703241.2110257025,15471306.642565455,22,12,8,2,ESP
32035,12211,h013,2004-01-09 12:00:00,698982.039760586,3,44,703241.2110257025,15471306.642565455,22,12,9,2,ESP
32036,203244,h066,2005-12-19 12:00:00,700496.6857054284,2,45,702593.7778704299,15457063.113149459,22,12,353,5,ESP
32037,203245,h066,2005-12-20 12:00:00,700496.6857054286,2,45,702593.7778704299,15457063.113149459,22,12,354,5,ESP
32038,203246,h066,2005-12-21 12:00:00,700496.6857054284,2,45,702593.7778704299,15457063.113149459,22,12,355,5,ESP
32039,203247,h066,2005-12-22 12:00:00,700496.6857054285,2,45,702593.7778704299,15457063.113149459,22,12,356,5,ESP
32040,203248,h066,2005-12-23 12:00:00,700496.6857054286,2,45,702593.7778704299,15457063.113149459,22,12,357,5,ESP
32041,203251,h066,2005-12-26 12:00:00,712915.5432753034,2,45,702593.7778704299,15457063.113149459,22,12,360,5,ESP
32042,203252,h066,2005-12-27 12:00:00,704177.5767166129,2,45,702593.7778704299,15457063.113149459,22,12,361,5,ESP
32043,203253,h066,2005-12-28 12:00:00,705872.985193986,2,45,702593.7778704299,15457063.113149459,22,12,362,5,ESP
32044,203254,h066,2005-12-29 12:00:00,714089.7099995564,2,45,702593.7778704299,15457063.113149459,22,12,363,5,ESP
32045,203255,h066,2005-12-30 12:00:00,714089.7099995564,2,45,702593.7778704299,15457063.113149459,22,12,364,5,ESP
32046,204378,h066,2009-01-26 12:00:00,696226.576616361,2,45,702593.7778704299,15457063.113149459,22,12,26,5,ESP
32047,204379,h066,2009-01-27 12:00:00,696226.576616361,2,45,702593.7778704299,15457063.113149459,22,12,27,5,ESP
32048,204380,h066,2009-01-28 12:00:00,696226.5766163612,2,45,702593.7778704299,15457063.113149459,22,12,28,5,ESP
32049,204381,h066,2009-01-29 12:00:00,696226.576616361,2,45,702593.7778704299,15457063.113149459,22,12,29,5,ESP
32050,204382,h066,2009-01-30 12:00:00,695736.4503359594,2,45,702593.7778704299,15457063.113149459,22,12,30,5,ESP
32051,204385,h066,2009-02-02 12:00:00,703255.9146622706,2,45,702593.7778704299,15457063.113149459,22,12,33,5,ESP
32052,204386,h066,2009-02-03 12:00:00,703255.9146622706,2,45,702593.7778704299,15457063.113149459,22,12,34,5,ESP
32053,204387,h066,2009-02-04 12:00:00,703255.9146622707,2,45,702593.7778704299,15457063.113149459,22,12,35,5,ESP
32054,204388,h066,2009-02-05 12:00:00,703255.9146622708,2,45,702593.7778704299,15457063.113149459,22,12,36,5,ESP
32055,204389,h066,2009-02-06 12:00:00,703255.9146622705,2,45,702593.7778704299,15457063.113149459,22,12,37,5,ESP
32056,204392,h066,2009-02-09 12:00:00,703255.9146622708,2,45,702593.7778704299,15457063.113149459,22,12,40,5,ESP
32057,204393,h066,2009-02-10 12:00:00,703255.9146622708,2,45,702593.7778704299,15457063.113149459,22,12,41,5,ESP
32058,428385,h129,2002-12-23 12:00:00,706740.6047334566,4,46,735270.8050147223,15440686.905309167,21,1,357,3,ESP
32059,428386,h129,2002-12-24 12:00:00,706740.6047334565,4,46,735270.8050147223,15440686.905309167,21,1,358,3,ESP
32060,428387,h129,2002-12-25 12:00:00,698555.6152116589,4,46,735270.8050147223,15440686.905309167,21,1,359,3,ESP
32061,430220,h129,2008-01-01 12:00:00,726858.4384204787,4,46,735270.8050147223,15440686.905309167,21,1,1,3,ESP
32062,430221,h129,2008-01-02 12:00:00,726858.4384204785,4,46,735270.8050147223,15440686.905309167,21,1,2,3,ESP
32063,430222,h129,2008-01-03 12:00:00,726858.4384204786,4,46,735270.8050147223,15440686.905309167,21,1,3,3,ESP
32064,430223,h129,2008-01-04 12:00:00,726858.4384204785,4,46,735270.8050147223,15440686.905309167,21,1,4,3,ESP
32065,430226,h129,2008-01-07 12:00:00,741173.8834085313,4,46,735270.8050147223,15440686.905309167,21,1,7,3,ESP
32066,430227,h129,2008-01-08 12:00:00,725852.3940759706,4,46,735270.8050147223,15440686.905309167,21,1,8,3,ESP
